map 15 15
player Bruh 2 1
camera 6
wall 1 4 1
wall 1 12 1
wall 0 1 2
wall 0 2 2
wall 1 4 2
wall 1 6 2
wall 0 8 2
wall 0 9 2
wall 0 10 2
wall 1 12 2
wall 1 4 3
wall 1 6 3
wall 1 8 3
wall 0 2 4
wall 0 3 4
wall 0 4 4
wall 1 6 4
wall 0 8 4
wall 0 9 4
wall 0 10 4
wall 0 11 4
wall 0 12 4
wall 0 13 4
wall 1 6 5
wall 1 12 5
wall 0 2 6
wall 0 3 6
wall 0 4 6
wall 0 5 6
wall 0 6 6
wall 0 7 6
wall 0 8 6
wall 0 9 6
wall 0 10 6
wall 1 12 6
wall 1 8 7
wall 1 12 7
wall 0 1 8
wall 0 2 8
wall 0 4 8
wall 0 5 8
wall 0 6 8
wall 0 7 8
wall 0 8 8
wall 1 10 8
wall 1 12 8
wall 1 2 9
wall 1 4 9
wall 1 10 9
wall 1 12 9
wall 1 2 10
wall 1 4 10
wall 0 6 10
wall 0 7 10
wall 0 8 10
wall 0 9 10
wall 0 10 10
wall 1 12 10
wall 1 4 11
wall 1 6 11
wall 1 12 11
wall 0 2 12
wall 0 3 12
wall 1 4 12
wall 0 6 12
wall 0 7 12
wall 0 8 12
wall 0 9 12
wall 0 10 12
wall 0 11 12
wall 0 12 12
wall 1 4 13
wintile 13 5
infotile level3/level3info.txt 3 1
